349.905,-3.846,-2.435
349.905,-3.853,-2.428
349.912,-3.853,-2.435
349.912,-3.853,-2.428
349.912,-3.852,-2.421
349.912,-3.853,-2.428
349.912,-3.852,-2.421
349.912,-3.851,-2.414
349.911,-3.845,-2.415
349.911,-3.845,-2.415
349.911,-3.838,-2.415
349.912,-3.838,-2.422
349.912,-3.838,-2.422
349.912,-3.832,-2.430
349.919,-3.832,-2.430
349.919,-3.825,-2.431
349.919,-3.825,-2.431
349.919,-3.825,-2.431
349.918,-3.818,-2.431
349.918,-3.818,-2.431
349.919,-3.818,-2.438
349.919,-3.818,-2.438
349.919,-3.811,-2.439
349.919,-3.811,-2.439
349.918,-3.811,-2.432
349.919,-3.811,-2.439
349.919,-3.811,-2.439
349.918,-3.804,-2.439
349.918,-3.804,-2.439
349.919,-3.805,-2.446
349.919,-3.805,-2.446
349.919,-3.805,-2.446
349.919,-3.805,-2.446
349.919,-3.805,-2.446
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.799,-2.454
349.919,-3.799,-2.454
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.798,-2.447
349.919,-3.792,-2.455
349.919,-3.792,-2.455
349.919,-3.792,-2.455
349.919,-3.792,-2.455
349.919,-3.792,-2.455
349.919,-3.792,-2.455
349.919,-3.792,-2.455
349.918,-3.791,-2.448
349.918,-3.791,-2.448
349.918,-3.791,-2.448
349.918,-3.791,-2.448
349.918,-3.791,-2.441
349.918,-3.791,-2.441
349.918,-3.791,-2.441
349.918,-3.791,-2.441
349.918,-3.791,-2.441
349.918,-3.791,-2.441
349.918,-3.791,-2.441
349.918,-3.791,-2.441
349.918,-3.791,-2.441
349.918,-3.791,-2.448
349.918,-3.791,-2.448
349.918,-3.791,-2.448
349.918,-3.791,-2.448
349.918,-3.791,-2.448
